column,dtype,non_null,missing_count,missing_pct,n_unique,min,max
borrower_id,int64,150000,0,0.0,150000,1.0,150000.0
SeriousDlqin2yrs,int64,150000,0,0.0,2,0.0,1.0
RevolvingUtilizationOfUnsecuredLines,float64,150000,0,0.0,125728,0.0,50708.0
age,int64,150000,0,0.0,86,0.0,109.0
NumberOfTime30-59DaysPastDueNotWorse,int64,150000,0,0.0,16,0.0,98.0
DebtRatio,float64,150000,0,0.0,114194,0.0,329664.0
MonthlyIncome,float64,120269,29731,19.821,13594,0.0,3008750.0
NumberOfOpenCreditLinesAndLoans,int64,150000,0,0.0,58,0.0,58.0
NumberOfTimes90DaysLate,int64,150000,0,0.0,19,0.0,98.0
NumberRealEstateLoansOrLines,int64,150000,0,0.0,28,0.0,54.0
NumberOfTime60-89DaysPastDueNotWorse,int64,150000,0,0.0,13,0.0,98.0
NumberOfDependents,float64,146076,3924,2.616,13,0.0,20.0
