feature,lower_bound,upper_bound,outlier_count,outlier_pct_of_rows
DebtRatio,-0.8646960792499998,1.9080236847499998,31311,20.874
NumberOfTime30-59DaysPastDueNotWorse,0.0,0.0,23982,15.988
NumberOfDependents,-1.5,2.5,13336,8.8907
MonthlyIncome,-1342.5,12645.5,9149,6.0993
NumberOfTimes90DaysLate,0.0,0.0,8338,5.5587
NumberOfTime60-89DaysPastDueNotWorse,0.0,0.0,7604,5.0693
NumberOfOpenCreditLinesAndLoans,-4.0,20.0,3980,2.6533
NumberRealEstateLoansOrLines,-3.0,5.0,793,0.5287
RevolvingUtilizationOfUnsecuredLines,-0.7639007662499999,1.35281445575,763,0.5087
age,8.0,96.0,46,0.0307
