feature,count,mean,std,min,q1,median_q2,q3,max,iqr,skewness,kurtosis_excess
DebtRatio,150000,353.00507576386985,2037.81852314437,0.0,0.17507383225,0.366507841,0.86825377325,329664.0,0.6931799409999999,95.15779286552785,13734.288858232952
MonthlyIncome,150000,6418.45492,12890.395542154736,0.0,3903.0,5400.0,7400.0,3008750.0,3497.0,127.12169564549764,24261.789053069493
NumberOfDependents,150000,0.7374133333333334,1.1070214146370303,0.0,0.0,0.0,1.0,20.0,1.0,1.6260587679259588,3.1370261075148194
NumberOfOpenCreditLinesAndLoans,150000,8.45276,5.145950989643273,0.0,5.0,8.0,11.0,58.0,6.0,1.2153137802048144,3.09106674575075
NumberOfTime30-59DaysPastDueNotWorse,150000,0.4210333333333333,4.192781272018315,0.0,0.0,0.0,0.0,98.0,0.0,22.597107559201046,522.3765448719934
NumberOfTime60-89DaysPastDueNotWorse,150000,0.24038666666666667,4.1551794209872215,0.0,0.0,0.0,0.0,98.0,0.0,23.33174311951399,545.6827435442082
NumberOfTimes90DaysLate,150000,0.26597333333333334,4.169303787594445,0.0,0.0,0.0,0.0,98.0,0.0,23.087345471932874,537.7389446058328
NumberRealEstateLoansOrLines,150000,1.01824,1.1297709848828605,0.0,0.0,1.0,2.0,54.0,2.0,3.482483993516935,60.476807648439966
RevolvingUtilizationOfUnsecuredLines,150000,6.048438054666888,249.75537062544024,0.0,0.029867442,0.154180737,0.5590462475,50708.0,0.5291788055,97.63157448571562,14544.713409749766
age,150000,52.295206666666665,14.771865863100349,0.0,41.0,52.0,63.0,109.0,22.0,0.18899454512676198,-0.4946688326403583
